汪淼: 小汪, 汪教授, 汪工  
史强: 大史, 史警官, 史哥  
常伟思: 常将军, 伟思, 常司令  
丁仪: 小丁, 丁教授, 丁博士  
杨冬: 冬儿, 杨博士, 小杨  
魏成: 魏工, 老魏, 成哥  
沙瑞山: 沙教授, 瑞山, 沙工  
徐冰冰: 冰冰, 徐工, 小徐  
斯坦顿: 斯上校, 斯坦顿, 斯科特  
林云: 林教授, 小林, 林工  
李瑶: 小李, 瑶瑶, 李姐  
豆豆: 小豆, 豆子, 豆豆  
楠楠: 小楠, 楠宝, 楠楠  
洋洋: 小洋, 洋洋, 洋宝  
咪咪: 小咪, 咪咪, 咪咪姐  
叶文洁: 叶老, 文洁, 叶教授  
杨卫宁: 杨工, 卫宁, 杨主任  
雷志成: 雷政委, 志成, 雷老  
叶哲泰: 叶教授, 哲泰, 叶老  
邵琳: 邵教授, 琳姐, 小邵  
叶文雪: 文雪, 叶小姐, 小雪  
白沐霖: 白记者, 沐霖, 白哥  
程丽华: 程代表, 丽华, 程姐  
红卫兵1: 红1, 革命小将1  
红卫兵2: 红2, 革命小将2  
唐红静: 红静, 唐小姐, 小唐  
红卫兵3: 红3, 革命小将3  
红卫兵4: 红4, 革命小将4  
阮雯: 阮教授, 雯姐, 小阮  
马钢: 马哥, 钢子, 老马  
齐猎头: 齐师傅, 猎头, 老齐  
大凤: 凤姐, 大凤, 凤嫂  
伊文斯: 伊文斯, 伊领袖, 伊教授  
潘寒: 潘博士, 小潘, 潘寒  
申玉菲: 小申, 申博士, 玉菲  
拉菲尔: 拉菲, 拉菲尔, 小拉  
核弹女孩: 核弹, 小核, 女孩  
元首: 三体元首, 元首, 统领  
1379号监听员: 监听员1379, 监听员  
科学执政官: 科执, 科学官, 执政科学家  
军事执政官: 军执, 军官, 执政军人  
农业执政官: 农执, 农业官, 执政农夫  
工业执政官: 工执, 工业官, 执政工人  
文教执政官: 文执, 文教官, 执政学者  
罗辑: 小罗, 罗教授, 罗兄  
庄颜: 庄小姐, 小庄, 颜颜  
弗雷德里克·泰勒: 泰勒, 弗雷德, 泰勒博士  
曼努尔·雷迪亚兹: 雷迪亚兹, 曼努尔, 雷迪总统  
比尔·希恩斯: 希恩斯, 比尔, 希恩斯博士  
冯·诺依曼: 诺依曼, 冯教授, 冯博士  
墨子: 墨圣, 墨老, 墨大师  
山杉惠子: 惠子, 山杉, 惠子小姐  
萨伊: 萨秘书长, 萨伊, 老萨  
伽尔宁: 伽主席, 伽尔宁, 伽老  
坎特: 坎特, 坎工, 小坎  
张翔: 张队, 翔子, 小张  
井上宏一: 井上, 宏一, 井上先生  
伽尔诺夫: 伽尔, 诺夫, 伽将军  
本·乔纳森: 乔纳森, 本教授, 乔教授  
章北海: 北海, 章将军, 章舰长  
吴岳: 吴岳, 小吴, 岳哥  
斐兹罗将军: 斐将军, 斐兹罗, 斐指挥官  
雷德尔: 雷德尔, 雷上校, 小雷  
麦克·伊文斯: 伊文斯, 麦克, 小麦  
琼斯: 琼斯, 小琼, 琼官  
威尔逊: 威尔逊, 威尔, 小威  
凯瑟琳: 凯瑟琳, 小凯, 凯姐  
林格: 林格, 小林, 林工  
哈里斯: 哈里斯, 哈教授, 老哈  
艾伦: 艾伦, 艾博士, 小艾  
麦克: 麦克, 小麦, 麦医生  
威廉·科兹莫: 科兹莫, 威廉, 科兹医生  
褚岩: 褚舰长, 褚哥, 小褚  
东方延绪: 东方舰长, 延绪, 小东  
列文: 列文, 列舰长, 小列  
井上明: 井上, 井上明, 明哥  
蓝西: 蓝西, 蓝教授, 小蓝  
赵鑫: 赵鑫, 赵工, 小赵  
李维: 李维, 小李, 维哥  
西子: 西子, 小西, 西姐  
斯科特: 斯科特, 斯舰长, 斯指挥官  
卡尔·乔伊娜: 乔伊娜, 卡尔, 小乔  
塞巴斯蒂安·史耐德: 史耐德, 塞巴斯蒂安, 史教授  
鲍里斯·洛文斯基: 洛文斯基, 鲍里斯, 洛博士  
白蓉: 白小姐, 小白, 蓉蓉  
张援朝: 张老, 援朝, 张叔  
张为明: 张为明, 小张, 为明  
晓虹: 小虹, 虹姐, 晓虹  
张延: 小延, 张延, 延延  
杨晋文: 杨老师, 晋文, 杨老  
苗福全: 苗老板, 福全, 老苗  
史晓明: 小史, 晓明, 史哥  
熊文: 熊文, 小熊, 文哥  
郭正明: 郭局, 正明, 郭哥  
肯博士: 肯博士, 肯教授, 小肯  
罗宾逊将军: 罗宾逊, 罗将军, 小罗  
程心: 小程, 程主任, 程姐  
狄奥伦娜: 狄奥, 伦娜, 狄小姐  
康斯坦丁十一世: 康斯坦丁, 康皇, 十一世  
法扎兰: 法扎兰, 小法, 扎兰  
云天明: 天明, 云少, 云博士  
老李: 李叔, 老李, 李师傅  
艾AA: 小艾, AA, 艾姐  
张医生: 张医师, 张医生, 小张  
胡文: 胡文, 小胡, 文哥  
何博士: 何博士, 何教授, 小何  
托马斯·维德: 托马斯, 托马斯·维德, 维德  
米哈伊尔·瓦季姆: 瓦季姆, 米哈伊尔, 瓦教授  
关一帆: 一帆, 关教授, 小关  
智子: 智子, AI智子, 量子智子  
歌者: 歌者, 歌主, 歌文明  
